episode,global_step,return,return_per_step,total_reward_total,total_reward_mean,economic_cost_mean,economic_cost_total,economic_reward_mean,economic_reward_total,projection_penalty_mean,projection_penalty_total,mapping_penalty_mean,mapping_penalty_total,feasible_action_mapping_rate,residual_feasible_scale_mean,residual_feasible_scale_min,residual_requested_norm_mean,residual_applied_norm_mean,residual_execution_ratio_mean,move_penalty_mean,move_penalty_total,safety_penalty_mean,safety_penalty_total,reward_safety_penalty_mean,reward_safety_penalty_total,state_violation_penalty_mean,state_violation_penalty_total,input_violation_penalty_mean,input_violation_penalty_total,rpi_violation_event_penalty_mean,rpi_violation_event_penalty_total,qp_infeasible_penalty_mean,qp_infeasible_penalty_total,state_excess_penalty_mean,state_excess_penalty_total,input_excess_penalty_mean,input_excess_penalty_total,rpi_excess_penalty_mean,rpi_excess_penalty_total,rpi_penalty_excluded_from_training_reward,state_excess_squared_mean,input_excess_squared_mean,rpi_excess_squared_mean,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,disturbance_bound_exceedance_rate,intervention_rate,qp_infeasible_rate,rpi_utilization_peak,alpha,entropy,q_loss,actor_loss,execution_mask_mean,theta_cost_updates,theta_set_update_attempts,theta_set_update_accepts,theta_K_update_attempts,theta_K_update_accepts,theta_K_last_coordinate,theta_K_step_norm,theta_K_last_policy_score,theta_transition_samples,theta_data_hull_vertices,theta_membership_exceedances,theta_pending_uncovered_hull_vertices,theta_h_norm,theta_p_norm,theta_M_norm,theta_K_change_norm,theta_M_angle_deg,theta_td_error_abs_mean,theta_rpi_area,theta_minimum_residual_authority,theta_rpi_area_change_percent,robust_refinement_iterations,robust_refinement_uncovered_count,robust_refinement_max_excess,robust_refinement_relative_rpi_change,robust_region_search_attempts,last_feasible_scale,first_infeasible_scale,first_feasible_scale,minimum_certified_scale,maximum_certified_scale,last_lower_infeasible_scale,first_upper_infeasible_scale,robust_region_residual_hull_vertices,robust_region_max_sample_residual_norm,self_consistency_S_plus_Z_passed,evaluation_economic_reward_mean,evaluation_economic_reward_total,evaluation_projection_penalty_mean,evaluation_projection_penalty_total,evaluation_mapping_penalty_mean,evaluation_mapping_penalty_total,evaluation_move_penalty_mean,evaluation_move_penalty_total,evaluation_state_violation_penalty_mean,evaluation_state_violation_penalty_total,evaluation_input_violation_penalty_mean,evaluation_input_violation_penalty_total,evaluation_rpi_violation_event_penalty_mean,evaluation_rpi_violation_event_penalty_total,evaluation_rpi_excess_penalty_mean,evaluation_rpi_excess_penalty_total,evaluation_qp_infeasible_penalty_mean,evaluation_qp_infeasible_penalty_total,evaluation_total_reward_mean,evaluation_total_reward_total,evaluation_pressure_positive_J_econ,evaluation_pressure_positive_economic_cost_mean,evaluation_pressure_positive_baseline_J_econ,evaluation_pressure_positive_improvement_percent,evaluation_pressure_positive_residual_requested_norm_mean,evaluation_pressure_positive_residual_applied_norm_mean,evaluation_pressure_positive_residual_execution_ratio_mean,evaluation_pressure_positive_requested_state_dependence_norm,evaluation_pressure_positive_applied_state_dependence_norm,evaluation_pressure_negative_J_econ,evaluation_pressure_negative_economic_cost_mean,evaluation_pressure_negative_baseline_J_econ,evaluation_pressure_negative_improvement_percent,evaluation_pressure_negative_residual_requested_norm_mean,evaluation_pressure_negative_residual_applied_norm_mean,evaluation_pressure_negative_residual_execution_ratio_mean,evaluation_pressure_negative_requested_state_dependence_norm,evaluation_pressure_negative_applied_state_dependence_norm,evaluation_concentration_positive_J_econ,evaluation_concentration_positive_economic_cost_mean,evaluation_concentration_positive_baseline_J_econ,evaluation_concentration_positive_improvement_percent,evaluation_concentration_positive_residual_requested_norm_mean,evaluation_concentration_positive_residual_applied_norm_mean,evaluation_concentration_positive_residual_execution_ratio_mean,evaluation_concentration_positive_requested_state_dependence_norm,evaluation_concentration_positive_applied_state_dependence_norm,evaluation_return,evaluation_return_per_step,evaluation_economic_cost_mean,evaluation_theta_only_economic_cost_mean,evaluation_safe_sac_economic_cost_mean,evaluation_sac_incremental_cost_reduction_percent,evaluation_residual_requested_norm_mean,evaluation_residual_applied_norm_mean,evaluation_residual_execution_ratio_mean,evaluation_requested_residual_state_dependence_norm,evaluation_applied_residual_state_dependence_norm,evaluation_paper2016_sac_improvement_percent,evaluation_normalized_safe_performance_gap,safe_reference_cost
0,0,-1436.8511752920022,-4.789503917640007,-1436.8511752920022,-4.789503917640007,6724.804123457732,2017441.2370373197,-1.5226195508694673,-456.78586526084024,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.0,0.0,0.0,0.0,0.0,3.2668843667705354,980.0653100311607,3.2668843667705354,980.0653100311607,0.0,0.0,0.0,0.0,3.266666666666667,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021770010386888325,0.06531003116066497,0.0,0.0,0.0,1.0885005193444162e-06,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,1.0020289459619767,0.10000000000000002,nan,nan,nan,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,0.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-1.5226195508694673,-456.78586526084024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.266666666666667,980.0,0.00021770010386888325,0.06531003116066497,0.0,0.0,-4.789503917640007,-1436.8511752920022,2029645.963293084,6765.48654431028,2029645.963293084,0.0,0.0,0.0,0.0,0.0,0.0,2055402.8489198105,6851.342829732702,2055402.8489198105,0.0,0.0,0.0,0.0,0.0,0.0,1967274.8988990649,6557.582996330216,1967274.8988990649,0.0,0.0,0.0,0.0,0.0,0.0,-1436.8511752920022,-4.789503917640007,6724.804123457732,6724.804123457732,6724.804123457732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6318.316222750188
1,300,-647.5776668440932,-2.158592222813644,-647.5776668440932,-2.158592222813644,6851.997958372527,2055599.3875117581,-2.158588725443429,-647.5766176330286,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.25265659654115097,0.01263282982705754,0.05000000000000026,3.4973702122164967e-06,0.001049211063664949,3.8,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.9865479671324867,0.1,1.2482291460037231,14.979016304016113,1.8095556497573853,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,300.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-1.5243272852853915,-457.29818558561755,0.0,0.0,0.0,0.0,1.4427802881827874e-10,4.3283408645483624e-08,0.0,0.0,0.0,0.0,3.266666666666667,980.0,0.00021662828428047726,0.06498848528414318,0.0,0.0,-4.79121058038062,-1437.363174114186,2029745.038016757,6765.81679338919,2029645.963293084,-0.004881379583674049,0.039100685895062944,0.001955034294753149,0.050000000000000266,0.20549598395913785,0.010274799197955957,2055507.9672437573,6851.693224145858,2055402.8489198105,-0.005114244343977671,0.04188271488708339,0.002094135744354167,0.05000000000000026,0.20549598395913785,0.010274799197955957,1967378.0980463128,6557.926993487709,1967274.8988990649,-0.005245791897497139,0.04053783293016361,0.00202689164650818,0.05000000000000026,0.20549598395913785,0.010274799197955957,-1437.363174114186,-4.79121058038062,6725.145670340919,6724.804123457732,6725.145670340919,-0.005078911993820353,0.040507077904103315,0.0020253538952051653,0.050000000000000266,0.20549598395913785,0.010274799197955957,-0.005078911993820353,-1.000840238744112,6318.316222750188
2,600,-517.7570884040861,-1.7258569613469534,-517.7570884040861,-1.7258569613469534,6765.450819688465,2029635.2459065397,-1.7258530320231429,-517.7559096069429,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.26013926998012704,0.013006963499006353,0.05000000000000026,3.929323809871009e-06,0.0011787971429613028,2.6,780.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9893825903691778,0.1,0.17661650478839874,0.6931855380535126,4.2989654541015625,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,600.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
3,900,-207.48257540940375,-0.6916085846980125,-207.48257540940375,-0.6916085846980125,6558.601210018481,1967580.3630055443,-0.6916049836732259,-207.48149510196777,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.24334399048985972,0.012167199524492982,0.050000000000000266,3.601024787321188e-06,0.0010803074361963563,3.4006489531384134,1020.194685941524,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006489531384132231,0.19468594152396693,1.0,0.0,0.0,3.2447656920661155e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0311998350575742,0.1,-0.31848493218421936,0.1241074725985527,3.902406930923462,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,900.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
4,1200,-205.7492398944818,-0.6858307996482726,-205.7492398944818,-0.6858307996482726,6557.445665024146,1967233.699507244,-0.6858272587015489,-205.7481776104647,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2570123835670132,0.012850619178350666,0.05000000000000026,3.540946723869935e-06,0.0010622840171609805,3.4006733399542144,1020.2020019862643,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006733399542144824,0.2020019862643447,1.0,0.0,0.0,3.366699771072412e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0317806534124414,0.1,-1.082585096359253,2.6763973236083984,3.7581701278686523,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,1200.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
5,1500,-517.8455434711892,-1.7261518115706307,-517.8455434711892,-1.7261518115706307,6765.50984989695,2029652.954969085,-1.7261481830655676,-517.8444549196703,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2561344599020106,0.012806722995100524,0.05000000000000026,3.628505063793489e-06,0.0010885515191380467,2.6,780.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9898908453567303,0.1,-0.34176215529441833,1.324343740940094,5.223541259765625,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,1500.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,-1.4892342935224778,-446.7702880567433,0.0,0.0,0.0,0.0,1.821137066861934e-08,5.463411200585803e-06,0.0,0.0,0.0,0.0,3.288888888888889,986.6666666666666,0.0002492404490898752,0.07477213472696258,0.0,0.0,-4.778372441071826,-1433.511732321548,2027524.7108159892,6758.4157027199635,2029645.963293084,0.10451342329935459,0.3428253123235494,0.01714126561617749,0.05000000000000026,19.755572867194793,0.9877786433597381,2053581.3170933486,6845.271056977828,2055402.8489198105,0.08862164550463573,0.3464193844645763,0.01732096922322884,0.05000000000000026,19.755572867194793,0.9877786433597381,1965208.3368801603,6550.694456267201,1967274.8988990649,0.10504693675810639,0.33299820362624794,0.0166499101813124,0.05000000000000026,19.755572867194793,0.9877786433597381,-1433.511732321548,-4.778372441071826,6718.127071988331,6724.804123457732,6718.127071988331,0.09928990267701084,0.34074763347145787,0.01703738167357291,0.05000000000000026,19.755572867194793,0.9877786433597381,0.09928990267701084,-0.9835738002096039,6318.316222750188
6,1800,-645.8061331528493,-2.1526871105094973,-645.8061331528493,-2.1526871105094973,6850.816918648457,2055245.0755945372,-2.1526835268231004,-645.8050580469301,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.25127160095779266,0.012563580047889626,0.05000000000000026,3.583686398135716e-06,0.0010751059194407148,3.8,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.985679577352417,0.1,-0.9742646813392639,1.317686915397644,7.804596900939941,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,1800.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
7,2100,-516.9201557867581,-1.7230671859558602,-516.9201557867581,-1.7230671859558602,6764.892866634163,2029467.8599902487,-1.723063266751611,-516.9189800254833,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2683476666781531,0.013417383333907644,0.05000000000000026,3.919204250632907e-06,0.0011757612751898722,2.6,780.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.9887124698829319,0.1,-0.9588932394981384,0.3122990131378174,7.464962959289551,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2100.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
8,2400,-647.5839612871488,-2.158613204290496,-647.5839612871488,-2.158613204290496,6852.002094118085,2055600.6282354253,-2.158609404171243,-647.5828212513729,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.2559408018054882,0.012797040090274398,0.05000000000000026,3.800119252448183e-06,0.001140035775734455,3.8,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.9860911052890875,0.09577327966690063,-0.3995315730571747,0.11873406916856766,8.795726776123047,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2400.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
9,2700,-206.56526368019163,-0.6885508789339722,-206.56526368019163,-0.6885508789339722,6557.989710804065,1967396.9132412195,-0.688547487601115,-206.5642462803345,0.0,0.0,0.0,0.0,0.0,0.05000000000000026,0.04999999999999994,0.24223885492843897,0.012111942746421956,0.05000000000000026,3.391332857410258e-06,0.0010173998572230775,3.4006821626299835,1020.204648788995,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006821626299831222,0.2046487889949367,1.0,0.0,0.0,3.4108131499156115e-06,0.0,0.0,0.17,0.0,0.0,0.0,1.0319881844588699,0.08771338313817978,-0.6062809228897095,0.30791865289211273,13.393836975097656,1.0,0.0,648.0,2.0,1481.0,461.0,-1.0,0.223159136044214,nan,2700.0,13.0,0.0,0.0,0.0,0.0,59116.021416839234,0.6690638882999602,1.0,nan,6.3621693960489125,0.04999999999999994,2104.746538885065,13.0,0.0,0.0,nan,13.0,2.2258758544921875,2.44140625,1.0,1.0,2.2258758544921875,nan,2.44140625,13.0,0.0010611044147720117,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6318.316222750188
