attempt,scale,state_region,input_region,w_hull_vertex_count,max_residual_norm,hinf_feasible,rpi_feasible,x_tightening_feasible,u_tightening_feasible,invariant_feasible,s_plus_z_contained,input_tube_contained,residual_membership_passed,safe_center_feasible,v_ref_feasible,verification_qp_feasible,residual_authority_feasible,minimum_residual_authority,feasible,failure_reason,s_subset_tightened,rpi_area,x_minus_z_area,invariant_area
1,1.0,"[[27.0, 50.57], [31.0, 56.57]]","[[187.62265879332617, 185.15014494495907], [257.6226587933262, 245.15014494495907]]",18,0.00021468149579117533,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999994,True,,True,0.03537320701238213,20.93755080050245,20.728698731267443
2,1.25,"[[26.5, 49.82], [31.5, 57.32]]","[[178.87265879332617, 177.65014494495907], [266.3726587933262, 252.65014494495907]]",21,0.0003355077788941058,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999989,True,,True,0.08010020988248068,31.662305659026394,31.346474160077598
3,1.5625,"[[25.875, 48.8825], [32.125, 58.2575]]","[[167.93515879332617, 168.27514494495907], [277.3101587933262, 262.02514494495904]]",20,0.0005243646322303946,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999994,True,,True,0.4770378680637827,34.808860249905145,34.461641868912345
4,1.953125,"[[25.09375, 47.710625], [32.90625, 59.429375]]","[[154.26328379332617, 156.55639494495907], [290.9820337933262, 273.74389494495904]]",18,0.0008195831677148282,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999994,True,,True,2.4325205657520175,28.074265499953388,27.79422470159135
5,2.44140625,"[[25.0, 46.24578125], [33.8828125, 60.89421875]]","[[137.17344004332617, 141.90795744495907], [308.0718775433262, 288.39233244495904]]",20,0.0012763756942130288,True,True,True,True,False,False,False,False,True,False,False,False,0.0,False,"invariant_feasible,v_ref_feasible,verification_qp_feasible,residual_authority_feasible",,,,
6,2.197265625,"[[25.0, 46.978203125], [33.39453125, 60.161796875]]","[[145.71836191832617, 149.23217619495907], [299.5269556683262, 281.06811369495904]]",13,0.001034020674622339,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999994,True,,True,5.890840562622531,18.40544436409287,18.221850056561042
7,2.3193359375,"[[25.0, 46.6119921875], [33.638671875, 60.5280078125]]","[[141.44590098082617, 145.57006681995907], [303.7994166058262, 284.73022306995904]]",14,0.0011520151371851783,True,True,True,True,False,False,False,False,True,False,False,False,0.0,False,"invariant_feasible,v_ref_feasible,verification_qp_feasible,residual_authority_feasible",,,,
8,2.25830078125,"[[25.0, 46.79509765625], [33.5166015625, 60.34490234375]]","[[143.58213144957617, 147.40112150745907], [301.6631861370762, 282.89916838245904]]",18,0.0010922221028772708,True,True,True,True,False,False,False,False,True,False,False,False,0.0,False,"invariant_feasible,v_ref_feasible,verification_qp_feasible,residual_authority_feasible",,,,
9,2.227783203125,"[[25.0, 46.886650390625], [33.45556640625, 60.253349609375]]","[[144.65024668395117, 148.31664885120907], [300.5950709027012, 281.98364103870904]]",16,0.001062922432353035,True,True,True,True,False,False,False,False,True,False,False,False,0.0,False,"invariant_feasible,v_ref_feasible,verification_qp_feasible,residual_authority_feasible",,,,
10,2.2125244140625,"[[25.0, 46.9324267578125], [33.425048828125, 60.2075732421875]]","[[145.18430430113867, 148.77441252308407], [300.0610132855137, 281.52587736683404]]",16,0.0010484218136539998,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999983,True,,True,6.258630043785823,17.912717187706146,17.734037833758773
11,2.22015380859375,"[[25.0, 46.90953857421875], [33.4403076171875, 60.23046142578125]]","[[144.91727549254492, 148.54553068714657], [300.32804209410745, 281.75475920277154]]",16,0.0010556596881384044,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999994,True,,True,6.225071447224421,17.620127315205615,17.444366545236438
12,2.223968505859375,"[[25.0, 46.898094482421875], [33.44793701171875, 60.241905517578125]]","[[144.78376108824804, 148.43108976917782], [300.4615564984043, 281.8692001207403]]",14,0.001059287951540785,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999993,True,,True,6.23171549960294,17.422574661115082,17.248784478870455
13,2.2258758544921875,"[[25.0, 46.89237243652344], [33.451751708984375, 60.24762756347656]]","[[144.7170038860996, 148.37386931019344], [300.52831370055276, 281.92642057972466]]",15,0.0010611044147720117,True,True,True,True,True,True,True,True,True,True,True,True,0.04999999999999994,True,,True,6.335133178650251,17.19603032398368,17.024499921501945
